연도,시도코드,시도이름,인원
2011,47,경상북도,8682
2011,26,부산광역시,9385
2011,27,대구광역시,6122
2011,46,전라남도,7112
2011,31,울산광역시,3705
2011,45,전라북도,6041
2011,41,경기도,31536
2011,44,충청남도,7309
2011,29,광주광역시,3712
2011,43,충청북도,5211
2011,11,서울특별시,24507
2011,42,강원도,5284
2011,30,대전광역시,4058
2011,48,경상남도,9152
2011,49,제주특별자치도,1311
2011,28,인천광역시,7859
2012,46,전라남도,7202
2012,45,전라북도,6200
2012,26,부산광역시,9333
2012,11,서울특별시,24173
2012,28,인천광역시,7982
2012,41,경기도,31128
2012,47,경상북도,8620
2012,44,충청남도,6921
2012,43,충청북도,5428
2012,27,대구광역시,6130
2012,42,강원도,5281
2012,30,대전광역시,4091
2012,48,경상남도,9170
2012,31,울산광역시,3576
2012,29,광주광역시,3820
2012,49,제주특별자치도,1565
2012,36,세종특별자치시,342
2013,11,서울특별시,24349
2013,27,대구광역시,6559
2013,29,광주광역시,4024
2013,43,충청북도,5385
2013,41,경기도,32264
2013,47,경상북도,8963
2013,48,경상남도,9507
2013,45,전라북도,6336
2013,26,부산광역시,10122
2013,44,충청남도,7204
2013,42,강원도,5133
2013,28,인천광역시,8545
2013,49,제주특별자치도,1573
2013,46,전라남도,7239
2013,31,울산광역시,3627
2013,30,대전광역시,4268
2013,36,세종특별자치시,403
2014,42,강원도,5315
2014,41,경기도,33338
2014,44,충청남도,7399
2014,47,경상북도,9127
2014,45,전라북도,6365
2014,26,부산광역시,9666
2014,46,전라남도,7267
2014,29,광주광역시,4025
2014,48,경상남도,9683
2014,43,충청북도,5260
2014,11,서울특별시,24280
2014,30,대전광역시,4468
2014,28,인천광역시,8827
2014,31,울산광역시,3504
2014,27,대구광역시,6465
2014,36,세종특별자치시,375
2014,49,제주특별자치도,1609
2015,45,전라북도,6556
2015,11,서울특별시,25938
2015,26,부산광역시,9978
2015,41,경기도,35123
2015,47,경상북도,8777
2015,44,충청남도,7249
2015,43,충청북도,5242
2015,46,전라남도,7367
2015,30,대전광역시,4462
2015,48,경상남도,9631
2015,49,제주특별자치도,1564
2015,28,인천광역시,9056
2015,29,광주광역시,4232
2015,27,대구광역시,6746
2015,42,강원도,5461
2015,31,울산광역시,3726
2015,36,세종특별자치시,409
2016,27,대구광역시,7165
2016,41,경기도,37027
2016,43,충청북도,5296
2016,48,경상남도,9599
2016,11,서울특별시,26172
2016,46,전라남도,7578
2016,31,울산광역시,3904
2016,28,인천광역시,9371
2016,26,부산광역시,9687
2016,30,대전광역시,4391
2016,42,강원도,5572
2016,29,광주광역시,4435
2016,44,충청남도,7498
2016,45,전라북도,6840
2016,47,경상북도,8933
2016,49,제주특별자치도,1752
2016,36,세종특별자치시,640
2017,43,충청북도,5665
2017,11,서울특별시,26234
2017,41,경기도,38374
2017,48,경상남도,9586
2017,30,대전광역시,4568
2017,27,대구광역시,6830
2017,47,경상북도,8948
2017,42,강원도,5522
2017,28,인천광역시,9383
2017,44,충청남도,7690
2017,45,전라북도,6425
2017,26,부산광역시,9522
2017,29,광주광역시,4305
2017,31,울산광역시,3800
2017,46,전라남도,7495
2017,36,세종특별자치시,625
